2026-08-29 16:30:40Z ok [cloud] 14.3s events: - | eq=9580.05 pos=1
2026-08-29 16:45:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 16:45:44Z ok [cloud] 13.9s events: - | eq=9584.94 pos=1
2026-08-29 17:00:42Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 17:00:42Z ok [cloud] 13.4s events: - | eq=9584.59 pos=1
2026-08-29 17:15:42Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 17:15:42Z ok [cloud] 13.7s events: - | eq=9580.4 pos=1
2026-08-29 17:30:46Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 17:30:46Z ok [cloud] 14.5s events: - | eq=9573.4 pos=1
2026-08-29 17:45:44Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 17:45:44Z ok [cloud] 13.7s events: - | eq=9573.4 pos=1
2026-08-29 17:49:20Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 17:49:20Z ok [cloud] 14.1s events: - | eq=9574.1 pos=1
2026-08-29 18:00:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 18:00:43Z ok [cloud] 13.2s events: - | eq=9574.8 pos=1
2026-08-29 18:15:43Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 18:15:43Z ok [cloud] 13.7s events: - | eq=9577.6 pos=1
2026-08-29 18:30:45Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 18:30:45Z ok [cloud] 14.3s events: - | eq=9580.4 pos=1
2026-08-29 18:45:42Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 18:45:42Z ok [cloud] 13s events: - | eq=9582.15 pos=1
2026-08-29 19:00:50Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 19:00:50Z ok [cloud] 14.6s events: - | eq=9583.19 pos=1
2026-08-29 19:15:41Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 19:15:41Z ok [cloud] 13.2s events: - | eq=9588.09 pos=1
2026-08-29 19:30:50Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 19:30:50Z ok [cloud] 15.6s events: - | eq=9586.69 pos=1
2026-08-29 19:45:50Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 19:45:50Z ok [cloud] 13.4s events: - | eq=9585.29 pos=1
2026-08-29 20:00:20Z MGMT ABORT (данные недоступны): bingx code=100410
2026-08-29 20:00:25Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 20:00:25Z ok [cloud] 13.1s events: - | eq=9584.24 pos=1
2026-08-29 20:17:31Z scan 4h bar=2026-08-29 16:00: pass=0/20, near=NEAR-USDT 7/6 (miss: atrCapLong), btc=up fng=68 flat=off
2026-08-29 20:17:36Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 20:17:36Z ok [cloud] 126s events: - | eq=9586.34 pos=1
2026-08-29 20:30:48Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 20:30:48Z ok [cloud] 14.6s events: - | eq=9584.59 pos=1
2026-08-29 20:45:49Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 20:45:49Z ok [cloud] 16.4s events: - | eq=9586.34 pos=1
2026-08-29 21:00:45Z RF ok: - | C2=12344.95 C3b=14179.05
2026-08-29 21:00:45Z ok [cloud] 14s events: - | eq=9585.64 pos=1
2026-08-29 21:15:55Z RF ok: - | C2=12344.95 C3b=14179.05
