2026-09-06 10:16:17Z RF ok: - | C2=11496.38 C3b=12623.75
2026-09-06 10:16:17Z ok [cloud] 31.4s events: - | eq=9665.57 pos=3
2026-09-06 10:31:15Z RF ok: - | C2=11496.38 C3b=12623.75
2026-09-06 10:31:15Z ok [cloud] 30s events: - | eq=9661.18 pos=3
2026-09-06 10:46:06Z RF ok: - | C2=11496.38 C3b=12623.75
2026-09-06 10:46:06Z ok [cloud] 31.6s events: - | eq=9666.25 pos=3
2026-09-06 11:01:04Z RF ok: - | C2=11496.38 C3b=12623.75
2026-09-06 11:01:04Z ok [cloud] 32.9s events: - | eq=9669.35 pos=3
2026-09-06 11:16:07Z RF ok: - | C2=11457.57 C3b=12552.07
2026-09-06 11:16:07Z ok [cloud] 31.9s events: - | eq=9664.9 pos=3
2026-09-06 11:31:07Z RF ok: - | C2=11457.57 C3b=12552.07
2026-09-06 11:31:07Z ok [cloud] 31.9s events: - | eq=9660.84 pos=3
2026-09-06 11:46:04Z RF ok: - | C2=11457.57 C3b=12552.07
2026-09-06 11:46:04Z ok [cloud] 30.2s events: - | eq=9667.36 pos=3
2026-09-06 11:59:39Z RF ok: - | C2=11457.57 C3b=12552.07
2026-09-06 11:59:39Z ok [cloud] 30s events: - | eq=9666.5 pos=3
2026-09-06 12:03:29Z scan 4h bar=2026-09-06 08:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=73 flat=off
2026-09-06 12:03:35Z RF ok: - | C2=11457.57 C3b=12552.07
2026-09-06 12:03:35Z ok [cloud] 145.7s events: - | eq=9664.5 pos=3
2026-09-06 12:16:10Z RF ok: - | C2=11447.99 C3b=12536.07
2026-09-06 12:16:10Z ok [cloud] 30.5s events: - | eq=9669.4 pos=3
2026-09-06 12:31:05Z RF ok: - | C2=11447.99 C3b=12536.07
2026-09-06 12:31:05Z ok [cloud] 32.5s events: - | eq=9669.06 pos=3
2026-09-06 12:46:04Z RF ok: - | C2=11447.99 C3b=12536.07
2026-09-06 12:46:04Z ok [cloud] 32.1s events: - | eq=9655.99 pos=3
2026-09-06 13:01:18Z RF ok: - | C2=11447.99 C3b=12536.07
2026-09-06 13:01:18Z ok [cloud] 30.5s events: - | eq=9651.16 pos=3
2026-09-06 13:16:04Z RF ok: - | C2=11441.6 C3b=12523.36
2026-09-06 13:16:04Z ok [cloud] 31.7s events: - | eq=9639.97 pos=3
2026-09-06 13:31:09Z RF ok: - | C2=11441.6 C3b=12523.36
2026-09-06 13:31:09Z ok [cloud] 31.2s events: - | eq=9622.46 pos=3
2026-09-06 13:46:11Z RF ok: - | C2=11441.6 C3b=12523.36
2026-09-06 13:46:11Z ok [cloud] 32.6s events: - | eq=9627.22 pos=3
2026-09-06 14:01:10Z RF ok: - | C2=11441.6 C3b=12523.36
2026-09-06 14:01:10Z ok [cloud] 33.3s events: - | eq=9621.55 pos=3
2026-09-06 14:16:07Z RF ok: - | C2=11469.05 C3b=12574.15
2026-09-06 14:16:07Z ok [cloud] 38s events: - | eq=9606.24 pos=3
2026-09-06 14:31:03Z RF ok: - | C2=11469.05 C3b=12574.15
2026-09-06 14:31:03Z ok [cloud] 31.9s events: - | eq=9576.27 pos=3
2026-09-06 14:46:01Z RF ok: - | C2=11469.05 C3b=12574.15
2026-09-06 14:46:01Z ok [cloud] 31.6s events: - | eq=9571.96 pos=3
2026-09-06 15:00:52Z RF ok: - | C2=11469.05 C3b=12574.15
2026-09-06 15:00:52Z ok [cloud] 31.1s events: - | eq=9555.06 pos=3
2026-09-06 15:16:02Z RF ok: - | C2=11464.42 C3b=12567.37
2026-09-06 15:16:02Z ok [cloud] 30.8s events: - | eq=9573.41 pos=3
2026-09-06 15:31:06Z RF ok: - | C2=11464.42 C3b=12567.37
2026-09-06 15:31:06Z ok [cloud] 30.2s events: - | eq=9578.25 pos=3
2026-09-06 15:46:00Z RF ok: - | C2=11464.42 C3b=12567.37
2026-09-06 15:46:00Z ok [cloud] 30.2s events: - | eq=9583.57 pos=3
2026-09-06 16:04:29Z scan 4h bar=2026-09-06 12:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=73 flat=off
2026-09-06 16:04:37Z RF ok: - | C2=11464.42 C3b=12567.37
2026-09-06 16:04:37Z ok [cloud] 172.9s events: - | eq=9579.66 pos=3
2026-09-06 16:16:07Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 16:16:07Z ok [cloud] 30.5s events: - | eq=9589.86 pos=3
2026-09-06 16:31:10Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 16:31:10Z ok [cloud] 40.5s events: - | eq=9593.48 pos=3
2026-09-06 16:46:08Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 16:46:08Z ok [cloud] 30.1s events: - | eq=9595.56 pos=3
2026-09-06 17:01:05Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 17:01:05Z ok [cloud] 31.1s events: - | eq=9593.02 pos=3
2026-09-06 17:16:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 17:16:01Z ok [cloud] 30s events: - | eq=9594.7 pos=3
2026-09-06 17:31:05Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 17:31:05Z ok [cloud] 34.2s events: - | eq=9596.16 pos=3
2026-09-06 17:46:10Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 17:46:10Z ok [cloud] 33.2s events: - | eq=9604.74 pos=3
2026-09-06 18:01:08Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 18:01:08Z ok [cloud] 36.7s events: - | eq=9607.53 pos=3
2026-09-06 18:16:04Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 18:16:04Z ok [cloud] 30.1s events: - | eq=9611.9 pos=3
2026-09-06 18:31:04Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 18:31:04Z ok [cloud] 30.7s events: - | eq=9623.32 pos=3
2026-09-06 18:46:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 18:46:01Z ok [cloud] 29.6s events: - | eq=9625.05 pos=3
2026-09-06 19:01:03Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 19:01:03Z ok [cloud] 30.5s events: - | eq=9623.79 pos=3
2026-09-06 19:16:16Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 19:16:16Z ok [cloud] 39.4s events: - | eq=9622.94 pos=3
2026-09-06 19:27:12Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 19:27:12Z ok [cloud] 31.4s events: - | eq=9618.95 pos=3
2026-09-06 19:31:03Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 19:31:03Z ok [cloud] 30.3s events: - | eq=9617.18 pos=3
2026-09-06 19:46:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 19:46:01Z ok [cloud] 29.7s events: - | eq=9612.81 pos=3
2026-09-06 20:03:13Z scan 4h bar=2026-09-06 16:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=73 flat=off
2026-09-06 20:03:18Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 20:03:18Z ok [cloud] 139.2s events: - | eq=9617.37 pos=3
2026-09-06 20:16:07Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 20:16:07Z ok [cloud] 29.6s events: - | eq=9616.04 pos=3
2026-09-06 20:31:03Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 20:31:03Z ok [cloud] 31.9s events: - | eq=9631.3 pos=3
2026-09-06 20:46:13Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 20:46:13Z ok [cloud] 32s events: - | eq=9637.21 pos=3
2026-09-06 21:05:55Z RF ok: - | C2=11395.3 C3b=12399.33
2026-09-06 21:05:55Z ok [cloud] 305.6s events: - | eq=9637.86 pos=3
2026-09-06 21:16:19Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 21:16:19Z ok [cloud] 39.6s events: - | eq=9652.3 pos=3
2026-09-06 21:31:08Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 21:31:08Z ok [cloud] 31.3s events: - | eq=9641.63 pos=3
2026-09-06 21:34:55Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 21:34:55Z ok [cloud] 39.6s events: - | eq=9644.56 pos=3
2026-09-06 21:45:56Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 21:45:56Z ok [cloud] 29.8s events: - | eq=9652.2 pos=3
2026-09-06 22:01:08Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 22:01:08Z ok [cloud] 35.3s events: - | eq=9634.98 pos=3
2026-09-06 22:16:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 22:16:01Z ok [cloud] 33.1s events: - | eq=9620.18 pos=3
2026-09-06 22:31:02Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 22:31:02Z ok [cloud] 30.7s events: - | eq=9622.13 pos=3
2026-09-06 22:45:59Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 22:45:59Z ok [cloud] 30.5s events: - | eq=9638.95 pos=3
2026-09-06 23:01:07Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 23:01:07Z ok [cloud] 29.2s events: - | eq=9647.45 pos=3
2026-09-06 23:04:44Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 23:04:44Z ok [cloud] 30s events: - | eq=9666.06 pos=3
2026-09-06 23:16:20Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 23:16:20Z ok [cloud] 32s events: - | eq=9658.5 pos=3
2026-09-06 23:31:02Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 23:31:02Z ok [cloud] 30.3s events: - | eq=9659.37 pos=3
2026-09-06 23:46:02Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-06 23:46:02Z ok [cloud] 30.2s events: - | eq=9687.42 pos=3
2026-09-07 00:03:36Z scan 4h bar=2026-09-06 20:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=71 flat=off
2026-09-07 00:03:43Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 00:03:43Z ok [cloud] 162.9s events: - | eq=9673.62 pos=3
2026-09-07 00:16:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 00:16:01Z ok [cloud] 29.1s events: - | eq=9674.41 pos=3
2026-09-07 00:31:02Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 00:31:02Z ok [cloud] 29.8s events: - | eq=9669.96 pos=3
2026-09-07 00:46:10Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 00:46:10Z ok [cloud] 32.8s events: - | eq=9660.28 pos=3
2026-09-07 00:52:54Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 00:52:54Z ok [cloud] 31.2s events: - | eq=9662.22 pos=3
2026-09-07 01:01:12Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 01:01:12Z ok [cloud] 39.7s events: - | eq=9646.54 pos=3
2026-09-07 01:16:05Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 01:16:05Z ok [cloud] 8.1s events: - | eq=9615.36 pos=3
2026-09-07 01:31:01Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 01:31:01Z ok [cloud] 31.3s events: - | eq=9616.34 pos=3
2026-09-07 01:46:00Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 01:46:00Z ok [cloud] 28.7s events: - | eq=9612.99 pos=3
2026-09-07 02:01:15Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 02:01:15Z ok [cloud] 31.1s events: - | eq=9626.46 pos=3
2026-09-07 02:15:57Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 02:15:57Z ok [cloud] 30.1s events: - | eq=9620.2 pos=3
2026-09-07 02:31:02Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 02:31:02Z ok [cloud] 31.8s events: - | eq=9653.27 pos=3
2026-09-07 02:46:00Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 02:46:00Z ok [cloud] 29.5s events: - | eq=9678.97 pos=3
2026-09-07 03:00:59Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 03:00:59Z ok [cloud] 29.6s events: - | eq=9626.03 pos=3
2026-09-07 03:15:58Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 03:15:58Z ok [cloud] 29.1s events: - | eq=9623.61 pos=3
2026-09-07 03:31:00Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 03:31:00Z ok [cloud] 30s events: - | eq=9616.47 pos=3
2026-09-07 03:46:04Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 03:46:04Z ok [cloud] 29.9s events: - | eq=9593.78 pos=3
2026-09-07 04:03:17Z scan 4h bar=2026-09-07 00:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=71 flat=off
2026-09-07 04:03:22Z RF ok: - | C2=11465.25 C3b=12569.36
2026-09-07 04:03:22Z ok [cloud] 139.4s events: EXIT T34 BTC-USDT trail-ema20 135.38 USD | eq=9591.6 pos=2
2026-09-07 04:15:54Z RF ok: - | C2=11444.32 C3b=12524.73
2026-09-07 04:15:54Z ok [cloud] 22.4s events: - | eq=9595.54 pos=2
2026-09-07 04:30:55Z RF ok: - | C2=11444.32 C3b=12524.73
2026-09-07 04:30:55Z ok [cloud] 22.5s events: - | eq=9592.41 pos=2
2026-09-07 04:46:02Z RF ok: - | C2=11444.32 C3b=12524.73
2026-09-07 04:46:02Z ok [cloud] 23s events: - | eq=9594.99 pos=2
2026-09-07 05:01:10Z RF ok: - | C2=11444.32 C3b=12524.73
2026-09-07 05:01:10Z ok [cloud] 23.2s events: - | eq=9596 pos=2
2026-09-07 05:15:54Z RF ok: - | C2=11382.86 C3b=12408.69
2026-09-07 05:15:54Z ok [cloud] 22.9s events: - | eq=9605.85 pos=2
2026-09-07 05:31:08Z RF ok: - | C2=11382.86 C3b=12408.69
2026-09-07 05:31:08Z ok [cloud] 25.3s events: - | eq=9611.58 pos=2
2026-09-07 05:43:49Z RF ok: - | C2=11382.86 C3b=12408.69
2026-09-07 05:43:49Z ok [cloud] 23.2s events: - | eq=9617.04 pos=2
2026-09-07 05:45:55Z RF ok: - | C2=11382.86 C3b=12408.69
2026-09-07 05:45:55Z ok [cloud] 21.4s events: - | eq=9617.53 pos=2
2026-09-07 06:00:54Z RF ok: - | C2=11382.86 C3b=12408.69
2026-09-07 06:00:54Z ok [cloud] 21.9s events: - | eq=9607.72 pos=2
2026-09-07 06:15:56Z RF ok: - | C2=11389.7 C3b=12419.5
2026-09-07 06:15:56Z ok [cloud] 21.7s events: - | eq=9612.7 pos=2
2026-09-07 06:31:10Z RF ok: - | C2=11389.7 C3b=12419.5
2026-09-07 06:31:10Z ok [cloud] 28.4s events: - | eq=9598.79 pos=2
2026-09-07 06:46:02Z RF ok: - | C2=11389.7 C3b=12419.5
2026-09-07 06:46:02Z ok [cloud] 22.5s events: - | eq=9588.95 pos=2
2026-09-07 07:00:52Z RF ok: - | C2=11389.7 C3b=12419.5
2026-09-07 07:00:53Z ok [cloud] 21.5s events: - | eq=9588.3 pos=2
2026-09-07 07:15:56Z RF ok: - | C2=11437.65 C3b=12507.8
2026-09-07 07:15:56Z ok [cloud] 21.5s events: - | eq=9586.52 pos=2
2026-09-07 07:30:50Z RF ok: - | C2=11437.65 C3b=12507.8
2026-09-07 07:30:50Z ok [cloud] 22.1s events: - | eq=9574.59 pos=2
2026-09-07 07:45:53Z RF ok: - | C2=11437.65 C3b=12507.8
2026-09-07 07:45:53Z ok [cloud] 21.8s events: - | eq=9574.24 pos=2
2026-09-07 08:02:57Z scan 4h bar=2026-09-07 04:00: pass=0/20, near=BTC-USDT 7/6 (miss: rsiReset+triggerBar), btc=up fng=71 flat=off
2026-09-07 08:03:02Z RF ok: - | C2=11437.65 C3b=12507.8
2026-09-07 08:03:02Z ok [cloud] 126.5s events: - | eq=9580.49 pos=2
2026-09-07 08:16:01Z RF ok: - | C2=11630.89 C3b=12864.87
2026-09-07 08:16:01Z ok [cloud] 26.8s events: - | eq=9580.58 pos=2
2026-09-07 08:31:05Z RF ok: - | C2=11630.89 C3b=12864.87
2026-09-07 08:31:05Z ok [cloud] 24.6s events: - | eq=9579.45 pos=2
2026-09-07 08:46:03Z RF ok: - | C2=11630.89 C3b=12864.87
2026-09-07 08:46:03Z ok [cloud] 21.6s events: - | eq=9581.54 pos=2
2026-09-07 09:01:08Z RF ok: - | C2=11630.89 C3b=12864.87
2026-09-07 09:01:08Z ok [cloud] 22.5s events: - | eq=9583.1 pos=2
2026-09-07 09:15:59Z RF ok: - | C2=11662.64 C3b=12923.22
2026-09-07 09:15:59Z ok [cloud] 25.5s events: - | eq=9589.97 pos=2
2026-09-07 09:31:02Z RF ok: - | C2=11662.64 C3b=12923.22
2026-09-07 09:31:02Z ok [cloud] 21.8s events: - | eq=9585.62 pos=2
2026-09-07 09:45:59Z RF ok: - | C2=11662.64 C3b=12923.22
2026-09-07 09:45:59Z ok [cloud] 25s events: - | eq=9580.18 pos=2
2026-09-07 10:01:09Z RF ok: - | C2=11662.64 C3b=12923.22
2026-09-07 10:01:09Z ok [cloud] 27.8s events: - | eq=9571.57 pos=2
2026-09-07 10:15:53Z RF ok: - | C2=11663.67 C3b=12922.15
2026-09-07 10:15:53Z ok [cloud] 21.5s events: - | eq=9572.63 pos=2
2026-09-07 10:30:58Z RF ok: - | C2=11663.67 C3b=12922.15
2026-09-07 10:30:58Z ok [cloud] 22.8s events: - | eq=9575.85 pos=2
2026-09-07 10:44:48Z RF ok: - | C2=11663.67 C3b=12922.15
2026-09-07 10:44:48Z ok [cloud] 23.5s events: - | eq=9581.71 pos=2
2026-09-07 10:47:50Z RF ok: - | C2=11663.67 C3b=12922.15
2026-09-07 10:47:50Z ok [cloud] 22.1s events: - | eq=9580.33 pos=2
2026-09-07 11:00:56Z RF ok: - | C2=11663.67 C3b=12922.15
2026-09-07 11:00:56Z ok [cloud] 25.2s events: - | eq=9574.75 pos=2
2026-09-07 11:15:59Z RF ok: - | C2=11583.63 C3b=12770.25
2026-09-07 11:15:59Z ok [cloud] 22.2s events: - | eq=9577.25 pos=2
2026-09-07 11:31:01Z RF ok: - | C2=11583.63 C3b=12770.25
2026-09-07 11:31:01Z ok [cloud] 27.8s events: - | eq=9578.23 pos=2
2026-09-07 11:50:53Z RF ok: - | C2=11395.3 C3b=12399.33
2026-09-07 11:50:53Z ok [cloud] 297s events: - | eq=9578.11 pos=2
2026-09-07 12:03:17Z scan 4h bar=2026-09-07 08:00: pass=1/20 (BCH-USDT long), btc=up fng=71 flat=off
2026-09-07 12:03:26Z RF ok: - | C2=11583.63 C3b=12770.25
2026-09-07 12:03:26Z ok [cloud] 140s events: ENTRY T36 BCH-USDT long | eq=9575.67 pos=3
2026-09-07 12:16:20Z RF ok: - | C2=11622.18 C3b=12840.69
2026-09-07 12:16:20Z ok [cloud] 36.6s events: - | eq=9583.33 pos=3
2026-09-07 12:31:11Z RF ok: - | C2=11622.18 C3b=12840.69
2026-09-07 12:31:11Z ok [cloud] 30.7s events: - | eq=9614.39 pos=3
2026-09-07 12:46:20Z RF ok: - | C2=11622.18 C3b=12840.69
2026-09-07 12:46:20Z ok [cloud] 34.4s events: - | eq=9623.17 pos=3
2026-09-07 12:50:12Z RF ok: - | C2=11622.18 C3b=12840.69
2026-09-07 12:50:12Z ok [cloud] 30.2s events: - | eq=9649.62 pos=3
2026-09-07 13:01:11Z RF ok: - | C2=11622.18 C3b=12840.69
2026-09-07 13:01:11Z ok [cloud] 30.7s events: - | eq=9705.35 pos=3
2026-09-07 13:16:06Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 13:16:06Z ok [cloud] 34.1s events: - | eq=9693.28 pos=3
2026-09-07 13:31:04Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 13:31:04Z ok [cloud] 30.6s events: - | eq=9682.4 pos=3
2026-09-07 13:46:36Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 13:46:36Z ok [cloud] 31.1s events: - | eq=9655.51 pos=3
2026-09-07 13:59:12Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 13:59:12Z ok [cloud] 32.7s events: - | eq=9660.14 pos=3
2026-09-07 14:01:07Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 14:01:07Z ok [cloud] 29.4s events: - | eq=9658.16 pos=3
2026-09-07 14:14:01Z RF ok: - | C2=11557.67 C3b=12725.01
2026-09-07 14:14:01Z ok [cloud] 31.6s events: - | eq=9621.83 pos=3
2026-09-07 14:16:07Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:16:07Z ok [cloud] 31.3s events: - | eq=9633.3 pos=3
2026-09-07 14:29:00Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:29:00Z ok [cloud] 30.6s events: - | eq=9621.79 pos=3
2026-09-07 14:31:24Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:31:24Z ok [cloud] 30.8s events: - | eq=9605.25 pos=3
2026-09-07 14:44:00Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:44:00Z ok [cloud] 33.6s events: - | eq=9601.45 pos=3
2026-09-07 14:46:07Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:46:07Z ok [cloud] 33.7s events: - | eq=9606.94 pos=3
2026-09-07 14:58:55Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 14:58:55Z ok [cloud] 31s events: - | eq=9684.91 pos=3
2026-09-07 15:00:57Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 15:00:57Z ok [cloud] 29.3s events: - | eq=9674.68 pos=3
2026-09-07 15:14:03Z RF ok: - | C2=11595.58 C3b=12795.36
2026-09-07 15:14:03Z ok [cloud] 33.1s events: - | eq=9625.38 pos=3
2026-09-07 15:16:01Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:16:01Z ok [cloud] 30.1s events: - | eq=9627.98 pos=3
2026-09-07 15:28:59Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:29:00Z ok [cloud] 30.7s events: - | eq=9637.06 pos=3
2026-09-07 15:31:01Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:31:01Z ok [cloud] 30.5s events: - | eq=9622.47 pos=3
2026-09-07 15:44:09Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:44:09Z ok [cloud] 32.7s events: - | eq=9557.34 pos=3
2026-09-07 15:46:02Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:46:02Z ok [cloud] 30.1s events: - | eq=9563.71 pos=3
2026-09-07 15:58:58Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 15:58:58Z ok [cloud] 31.1s events: - | eq=9577.63 pos=3
2026-09-07 16:03:21Z scan 4h bar=2026-09-07 12:00: pass=0/20, near=BCH-USDT 6/6 (miss: setupA+flatMode), btc=range fng=71 flat=ON
2026-09-07 16:03:26Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 16:03:26Z ok [cloud] 140.7s events: EXIT T33 BNB-USDT trail-ema20 237.49 USD | eq=9602.9 pos=2
2026-09-07 16:09:17Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 16:09:17Z ok [cloud] 23.1s events: - | eq=9628.33 pos=2
2026-09-07 16:11:44Z RF ok: - | C2=11588.59 C3b=12783.62
2026-09-07 16:11:44Z ok [cloud] 23.8s events: - | eq=9627.52 pos=2
2026-09-07 16:14:46Z RF ok: - | C2=11593.22 C3b=12793.76
2026-09-07 16:14:46Z ok [cloud] 8s events: TP1 T36 BCH-USDT | eq=9667.6 pos=2
2026-09-07 16:17:34Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:17:34Z ok [cloud] 24.5s events: - | eq=9689 pos=2
2026-09-07 16:28:55Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:28:55Z ok [cloud] 22.8s events: - | eq=9666.62 pos=2
2026-09-07 16:31:09Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:31:09Z ok [cloud] 25.9s events: - | eq=9664.11 pos=2
2026-09-07 16:44:00Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:44:00Z ok [cloud] 27.2s events: - | eq=9698.74 pos=2
2026-09-07 16:45:57Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:45:57Z ok [cloud] 23.2s events: - | eq=9685.23 pos=2
2026-09-07 16:58:44Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 16:58:44Z ok [cloud] 22s events: - | eq=9667.97 pos=2
2026-09-07 17:01:12Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 17:01:12Z ok [cloud] 24.4s events: - | eq=9659.19 pos=2
2026-09-07 17:13:50Z RF ok: - | C2=11712.32 C3b=13008.75
2026-09-07 17:13:50Z ok [cloud] 23.4s events: - | eq=9649.04 pos=2
2026-09-07 17:16:02Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:16:02Z ok [cloud] 24.3s events: - | eq=9651.44 pos=2
2026-09-07 17:28:55Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:28:55Z ok [cloud] 22.1s events: - | eq=9644.55 pos=2
2026-09-07 17:31:04Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:31:04Z ok [cloud] 25.4s events: - | eq=9638.37 pos=2
2026-09-07 17:43:43Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:43:43Z ok [cloud] 21.8s events: - | eq=9639.03 pos=2
2026-09-07 17:45:53Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:45:53Z ok [cloud] 21.7s events: - | eq=9638.92 pos=2
2026-09-07 17:58:51Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 17:58:51Z ok [cloud] 21.8s events: - | eq=9636.7 pos=2
2026-09-07 18:00:54Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 18:00:54Z ok [cloud] 21.3s events: - | eq=9641.24 pos=2
2026-09-07 18:13:54Z RF ok: - | C2=11734.19 C3b=13048.71
2026-09-07 18:13:54Z ok [cloud] 22.5s events: - | eq=9638.36 pos=2
2026-09-07 18:15:59Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:15:59Z ok [cloud] 21.5s events: - | eq=9638.11 pos=2
2026-09-07 18:28:51Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:28:51Z ok [cloud] 23.5s events: - | eq=9630.05 pos=2
2026-09-07 18:30:50Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:30:50Z ok [cloud] 21.1s events: - | eq=9630.68 pos=2
2026-09-07 18:43:50Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:43:50Z ok [cloud] 26.8s events: - | eq=9630.72 pos=2
2026-09-07 18:45:58Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:45:58Z ok [cloud] 26s events: - | eq=9631.9 pos=2
2026-09-07 18:58:50Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 18:58:50Z ok [cloud] 27.5s events: - | eq=9637.36 pos=2
2026-09-07 19:00:58Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 19:00:58Z ok [cloud] 21.9s events: - | eq=9635.25 pos=2
2026-09-07 19:13:52Z RF ok: - | C2=11768.78 C3b=13108.61
2026-09-07 19:13:52Z ok [cloud] 24.1s events: - | eq=9632.89 pos=2
